Name,Time
Gabriel Debru,07:08 21/12/2005 +00:00
Jannik Sinner,00:52 16/08/2001 +00:00
William Saliba,06:50 24/03/2001 +00:00
Donavan Grondin,00:50 06/08/2000 +00:00
Maxime Grousset,08:53 24/04/1999 +00:00
Rayan Helal,06:55 21/01/1999 +00:00
Geoffrey Blancaneaux,00:05 08/08/1998 +00:00
Ugo Humbert,03:20 26/06/1998 +00:00
Clment Nol,11:36 03/05/1997 +00:00
Andrea Davidovich,16:30 24/03/1997 +00:00
Simone Biles,06:02 14/03/1997 +00:00
Rosa Valiente,13:05 26/06/1996 +00:00
Diego Elas,20:53 19/11/1996 +00:00
Rodrigo Pflucker,16:45 02/09/1996 +00:00
Benjamin Pavard,11:15 28/03/1996 +00:00
Violeta Delgado,17:41 17/10/1996 +00:00
Sara Balzer,11:10 03/04/1995 +00:00
Benjamin Thomas,12:25 12/09/1995 +00:00
John Rahm,13:10 10/11/1994 +00:00
Alose Retornaz,17:50 03/02/1994 +00:00
Pauline Ranvier,22:58 14/04/1994 +00:00
Jessica Fox,16:00 11/06/1994 +00:00
Dorian Coninx,03:05 28/01/1994 +00:00
Laura Tarantola,13:26 08/06/1994 +00:00
Lucas Pouille,16:00 23/02/1994 +00:00
Deborah Nunes,16:35 14/03/1993 +00:00
Maxime Pauty,12:25 20/06/1993 +00:00
Caroline Garcia,19:37 16/10/1993 +00:00
Jordan Veretout,01:55 01/03/1993 +00:00
Paul Pogba,01:45 15/03/1993 +00:00
Justin Thomas,18:58 29/04/1993 +00:00
Amanda Pelkey,19:49 29/05/1993 +00:00
Andrea Cedrn,02:25 24/12/1993 +00:00
Djibril Sidib,13:30 29/07/1992 +00:00
Pauline FerrandPrvot,01:03 10/02/1992 +00:00
Katherine Winder,08:58 23/04/1992 +00:00
Julian Alaphilippe,20:05 11/06/1992 +00:00
Yannick Agnel,10:00 09/06/1992 +00:00
Ryan CochranSiegle,22:39 27/03/1992 +00:00
Quentin FillonMaillet,02:25 16/08/1992 +00:00
PierreCharles Boudot,12:10 21/12/1992 +00:00
Quentin FillonMaillet,02:25 16/08/1992 +00:00
Mathieu Faivre,15:40 18/01/1992 +00:00
Gianmarco Tamberi,04:55 01/06/1992 +00:00
PierreAmbroise Bosse,09:05 11/05/1992 +00:00
Mathieu Faivre,15:40 18/01/1992 +00:00
Earvin Ngapeth,20:40 12/02/1991 +00:00
Emilio Crdova Daza,10:00 08/07/1991 +00:00
Etiene Medeiros,22:20 24/05/1991 +00:00
Ross Miner,07:08 24/01/1991 +00:00
Ysaora Thibus,16:30 22/08/1991 +00:00
Pascal MartinotLagarde,14:55 22/09/1991 +00:00
Camila Giorgi,15:45 30/12/1991 +00:00
Antoine Griezmann,02:40 21/03/1991 +00:00
Keith Meneses,17:30 09/09/1991 +00:00
Emilio Crdova Daza,10:00 08/07/1991 +00:00
Phelipe Rodrigues,08:20 10/08/1990 +00:00
Robby Kelley,14:38 26/05/1990 +00:00
Matthieu Androdias,20:47 11/06/1990 +00:00
Claudia Zornoza,21:36 12/02/1990 +00:00
Christophe LeMaitre,15:35 11/06/1990 +00:00
Ccilia Berder,19:10 13/12/1989 +00:00
Vincent Luis,07:15 27/06/1989 +00:00
"Walter ",01:40 22/07/1989 +00:00
Teddy Riner,23:45 07/04/1989 +00:00
Tessa Worley,15:45 04/10/1989 +00:00
Enrique Barzola,23:05 28/04/1989 +00:00
Teddy Riner,23:45 07/04/1989 +00:00
Jason Corliss,03:02 30/05/1988 +00:00
Dez Bryant,10:03 04/11/1988 +00:00
Charlotte Lembach,09:35 01/04/1988 +00:00
Stephen Curry,13:51 14/03/1988 +00:00
Federica Pellegrini,04:45 05/08/1988 +00:00
Russell Wilson,12:09 29/11/1988 +00:00
Ronda Rousey,12:39 01/02/1987 +00:00
Amy Dombroski,20:49 09/09/1987 +00:00
Novak Djokovic,23:25 22/05/1987 +00:00
Hannah Teter,02:46 27/01/1987 +00:00
Mario Hart,09:55 15/04/1987 +00:00
Sidney Crosby,10:25 07/08/1987 +00:00
Lionel Messi,20:30 24/06/1987 +00:00
Stphane Tourreau,07:30 17/03/1987 +00:00
Ian Mahinmi,12:55 05/11/1986 +00:00
Rafael Nadal,18:20 03/06/1986 +00:00
Claudia Rivero,17:00 28/11/1986 +00:00
Richard Gasquet,09:00 18/06/1986 +00:00
Thomas Bouhail,12:05 03/07/1986 +00:00
Tim Kelley,18:12 20/05/1986 +00:00
Ian Mahinmi,12:55 05/11/1986 +00:00
Laure Manaudou,12:05 09/10/1986 +00:00
Laure Manaudou,12:05 09/10/1986 +00:00
Renaud Lavillenie,11:05 18/09/1986 +00:00
Demetrious Johnson,12:31 13/08/1986 +00:00
Brett Swain,08:53 21/06/1985 +00:00
Camille Lecointre,12:10 25/02/1985 +00:00
Alan  Garca,07:07 02/10/1985 +00:00
Joakim Noah,13:36 25/02/1985 +00:00
Grgory Baug,08:55 31/01/1985 +00:00
Grgory Baug,08:55 31/01/1985 +00:00
Evi Van Acker,14:37 23/09/1985 +00:00
