PartitionKey,RowKey
Aquarius,Blood circulation
Aquarius,Buttock
Aquarius,ankles
Aquarius,breath
Aquarius,eyes
Aquarius,legs
Aries,Brain
Aries,Head
Aries,face
Aries,nerve centres
Aries,vitality
Cancer,Heart
Cancer,Stomach
Cancer,blood
Cancer,breast
Cancer,elbow
Cancer,epigastric region
Capricorn,Bones
Capricorn,The two knees
Capricorn,bones
Capricorn,epidermis
Capricorn,flesh
Capricorn,joints
Gemini,Chest
Gemini,Lungs
Gemini,breath
Gemini,nerve fibres
Gemini,throat
Gemini,upper arm
House6,digestive organs
House6,intestinal organs
Leo,Belly
Leo,Heart
Leo,back
Leo,blood
Leo,forearm
Leo,liver
Leo,vitality
Libra,Kidneys
Libra,Lower belly
Libra,breath
Libra,loins
Libra,lumbar region
Pisces,Feet
Pisces,Lymphatic system
Pisces,toes
Sagittarius,Arterial system
Sagittarius,The two thighs
Sagittarius,hips
Sagittarius,vitality
Scorpio,Excretory system
Scorpio,Sexual organ
Scorpio,anus
Scorpio,bladder
Scorpio,external generative organs
Scorpio,urinary organs
Taurus,Face
Taurus,Gullet
Taurus,bones
Taurus,cerebellum
Taurus,flesh
Taurus,neck
Taurus,neck and throat
Taurus,throat
Virgo,Bowels
Virgo,Waist
Virgo,abdominal region
Virgo,bones
Virgo,flesh
Virgo,hands
Virgo,solar plexus
